336 3,118324
337,6667 -50272,04
337,6697 -50366,35
337,6727 -50329,15
337,6757 -50319,93
337,6787 -50251,41
337,6817 -50089,47
337,6847 -49962,54
337,6877 -49785,14
337,6907 -49440,93
337,6937 -49209,98
337,6967 -48926,41
337,6997 -48585,86
337,7027 -48199,36
337,7057 -47796,11
337,7087 -47350,78
337,7117 -46938,55
337,7147 -46409,1
337,7177 -45869,58
337,7207 -45309,29
337,7237 -44725,95
337,7267 -44106,64
337,7297 -43613,63
337,7327 -42939,99
337,7357 -42281,79
337,7387 -41635,68
337,7417 -40979,71
337,7448 -40096,34
337,7477 -39236,21
337,7508 -38592,66
337,7538 -37902,04
337,7567 -37197,5
337,7598 -36237,55
337,7628 -35279,3
337,7658 -34431,96
337,7688 -33545,14
337,7718 -32564,2
337,7748 -31823,72
337,7778 -30983,01
337,7808 -30206,83
337,7838 -29410,21
337,7868 -28691,43
337,7898 -27839,83
337,7928 -27155,37
337,7958 -26352,18
337,7988 -25666,25
337,8018 -24939,26
337,8048 -24177,89
337,8078 -23483,07
337,8108 -22955,35
337,8138 -22286,88
337,8168 -21688,07
337,8198 -21098,46
337,8228 -20521,44
337,8258 -19863,21
337,8288 -19294,79
337,8318 -18784,29
337,8348 -18243,97
337,8378 -17815,72
337,8409 -17362,05
337,8438 -16891
337,8468 -16329,73
337,8499 -15881,8
337,8528 -15432,89
337,8559 -15017,84
337,8589 -14563,07
337,8618 -14231,05
337,8649 -13861,1
337,8679 -13503,26
337,8709 -13093,52
337,8739 -12716,2
337,8769 -12381,24
337,8799 -12063,4
337,8829 -11741,79
337,8859 -11439,78
337,8889 -11078,63
337,8919 -10810,69
337,8949 -10510,8
337,8979 -10188,37
337,9009 -9918,881
337,9039 -9687,427
337,9069 -9498,767
337,9099 -9243,303
337,9129 -8968,696
337,9159 -8767,984
337,9189 -8546,354
337,9219 -8322,102
337,9249 -8089,892
337,9279 -7899,116
337,9309 -7737,28
337,9339 -7517,213
337,937 -7358,194
337,9399 -7164,681
337,9429 -6981,173
337,946 -6823,285
337,9489 -6664,025
337,952 -6532,609
337,955 -6386,755
337,9579 -6256,004
337,961 -6110,47
337,964 -5988,778
337,967 -5868,481
337,97 -5745,347
337,973 -5599,6
337,976 -5490,637
