336 13,10946
337,9009 -6176,506
337,9039 -6028,191
337,9069 -5846,837
337,9099 -5749,591
337,9129 -5582,99
337,9159 -5454,879
337,9189 -5292,308
337,9219 -5192,914
337,9249 -5069,169
337,9279 -4885,191
337,9309 -4812,244
337,9339 -4703,807
337,937 -4586,626
337,9399 -4480,391
337,9429 -4399,293
337,946 -4295,255
337,9489 -4196,231
337,952 -4079,908
337,955 -3998,469
337,9579 -3921,868
337,961 -3822,536
337,964 -3761,041
337,967 -3673,33
337,97 -3586,857
337,973 -3539,566
337,976 -3439,432
337,979 -3364,96
337,982 -3281,054
337,985 -3221,664
337,988 -3157,261
337,991 -3081,551
337,994 -3032,251
337,997 -2974,092
338 -2888,496
338,003 -2855,831
338,006 -2815,52
338,009 -2770,444
338,012 -2708,612
338,015 -2655,772
338,018 -2608,027
338,021 -2542,13
338,024 -2500,853
338,027 -2470,696
338,03 -2411,64
338,033 -2344,955
338,036 -2320,745
338,039 -2275,298
338,0421 -2224,918
338,045 -2183,271
338,048 -2164,918
338,0511 -2103,762
338,054 -2065,237
338,0571 -2043,599
338,0601 -2019,413
338,063 -1991,347
338,0661 -1937,402
338,0691 -1902,896
338,0721 -1866,68
338,0751 -1850,829
338,0781 -1837,475
338,0811 -1779,886
338,0841 -1757,874
338,0871 -1729,916
338,0901 -1689,827
338,0931 -1683,452
338,0961 -1654,96
338,0991 -1605,165
338,1021 -1592,284
338,1051 -1589,557
338,1081 -1532,99
338,1111 -1515,512
338,1141 -1502,316
338,1171 -1458,791
338,1201 -1447,166
338,1231 -1432,359
338,1261 -1424,841
338,1291 -1382,749
338,1321 -1349,937
338,1351 -1340,756
338,1382 -1329,175
338,1411 -1305,472
338,1441 -1301,297
338,1472 -1266,489
338,1501 -1251,477
338,1532 -1223,46
338,1562 -1231,259
338,1591 -1210,196
338,1622 -1175,625
338,1652 -1158,18
338,1682 -1140,907
338,1712 -1137,276
338,1742 -1113,259
338,1772 -1092,647
338,1802 -1068,899
338,1832 -1059,986
338,1862 -1050,733
338,1892 -1042,919
338,1922 -1032,699
338,1952 -1014,241
338,1982 -1007,203
338,2012 -971,8144
338,2042 -973,6304
338,2072 -968,5643
338,2102 -946,1271
338,2132 -931,1919
338,2162 -926,5037
338,2192 -924,7429
338,2222 -892,7175
338,2252 -889,368
338,2282 -868,3469
338,2312 -868,8886
338,2342 -868,615
338,2372 -827,4621
338,2402 -851,0261
338,2433 -835,0714
338,2462 -816,7762
338,2492 -817,2948
338,2523 -793,2657
338,2552 -789,3532
338,2583 -788,9835
338,2613 -780,3635
338,2643 -760,921
338,2673 -757,7814
338,2703 -750,3162
338,2733 -726,6563
338,2763 -729,252
338,2793 -717,9353
338,2823 -699,4934
338,2853 -704,1769
338,2883 -696,322
338,2913 -685,0579
338,2943 -685,426
338,2973 -672,5999
338,3003 -668,5591
338,3033 -650,4722
338,3063 -640,947
338,3093 -647,7575
338,3123 -644,1115
338,3153 -629,4748
338,3183 -623,7903
338,3213 -618,9858
338,3243 -608,8741
338,3273 -608,3619
338,3303 -603,1517
338,3333 -599,0456
338,3363 -579,2322
338,3393 -572,4389
338,3423 -569,6055
338,3453 -573,5419
338,3484 -554,7121
338,3513 -552,6704
