
335 11,6774
338,8438 -8782,195
338,8499 -8652,648
338,8559 -8523,41
338,8618 -8408,066
338,8679 -8306,109
338,8739 -8210,859
338,8799 -8119,604
338,8859 -8029,763
338,8919 -7937,896
338,8979 -7841,852
338,9039 -7741,551
338,9099 -7639,87
338,9159 -7540,443
338,9219 -7445,047
338,9279 -7353,546
338,9339 -7264,67
338,9399 -7175,644
338,946 -7084,197
338,952 -6994,029
338,9579 -6911,014
338,964 -6833,542
338,97 -6756,429
338,976 -6679,99
338,982 -6606,866
338,988 -6535,55
338,994 -6462,723
339 -6387,333
339,006 -6309,741
339,012 -6231,358
339,018 -6154,396
339,024 -6079,522
339,03 -6006,462
339,036 -5935,058
339,0421 -5864,774
339,048 -5795,823
339,054 -5727,27
339,0601 -5656,292
339,0661 -5586,84
339,0721 -5529,359
339,0781 -5482,609
339,0841 -5431,896
339,0901 -5371,579
339,0961 -5309,082
339,1021 -5248,634
339,1081 -5189,493
339,1141 -5131,103
339,1201 -5071,527
339,1261 -5010,148
339,1321 -4949,396
339,1382 -4890,702
339,1441 -4835,149
339,1501 -4784,899
339,1562 -4739,661
339,1622 -4695,3
339,1682 -4647,855
339,1742 -4597,205
339,1802 -4543,809
339,1862 -4486,641
339,1922 -4430,313
339,1982 -4382,331
339,2042 -4339,117
339,2102 -4291,478
339,2162 -4240,351
339,2222 -4192,357
339,2282 -4150,295
339,2342 -4113,866
339,2402 -4078,104
339,2462 -4036,89
339,2523 -3993,542
339,2583 -3953,062
339,2643 -3910,564
339,2703 -3864,078
339,2763 -3820,667
339,2823 -3781,643
339,2883 -3743,535
339,2943 -3707,659
339,3003 -3672,322
339,3063 -3632,174
339,3123 -3590,603
339,3183 -3554,056
339,3243 -3518,812
339,3303 -3478,858
339,3363 -3438,521
339,3423 -3404,888
339,3484 -3375,408
339,3543 -3344,018
339,3604 -3311,915
339,3664 -3282,255
339,3724 -3251,698
339,3784 -3216,434
339,3844 -3180,574
339,3904 -3149,506
339,3964 -3120,237
339,4024 -3086,654
339,4084 -3049,469
339,4144 -3015,329
339,4204 -2988,868
339,4264 -2966,248
339,4324 -2938,033
339,4384 -2902,974
339,4445 -2870,953
339,4504 -2846,663
339,4565 -2823,178
339,4625 -2794,233
339,4685 -2762,513
339,4745 -2734,913
339,4805 -2712,484
339,4865 -2688,564
339,4925 -2659,513
339,4985 -2630,102
339,5045 -2603,813
339,5105 -2576,558
339,5165 -2545,908
339,5225 -2518,119
339,5285 -2499,142
339,5345 -2486,274
339,5405 -2471,828
339,5465 -2448,303
339,5526 -2414,36
339,5586 -2378,574
339,5646 -2349,261
339,5706 -2326,223
339,5766 -2306,976
339,5826 -2289,286
339,5886 -2269,525
339,5946 -2247,735
339,6006 -2227,791
339,6066 -2209,818
339,6126 -2190,722
339,6186 -2169,975
339,6246 -2147,135
339,6306 -2120,792
339,6366 -2093,318
339,6426 -2068,063
339,6487 -2045,697
339,6547 -2026,772
339,6607 -2011,821
339,6667 -2000,451
339,6727 -1990,233
339,6787 -1975,286
339,6847 -1953,231
339,6907 -1931,132
339,6967 -1915,044
339,7027 -1901,078
339,7087 -1883,667
339,7147 -1863,269
339,7207 -1843,498
339,7267 -1824,931
339,7327 -1804,499
339,7387 -1783,495
339,7448 -1766,958
339,7508 -1753,781
339,7567 -1740,935
339,7628 -1730,026
339,7688 -1719,562
339,7748 -1703,434
339,7808 -1679,958
339,7868 -1654,169
339,7928 -1634,217
339,7988 -1625,412
339,8048 -1622,399
339,8108 -1612,893
339,8168 -1593,657
339,8228 -1574,506
339,8288 -1563,065
339,8348 -1554,31
339,8409 -1539,121
339,8468 -1516,834
339,8528 -1495,443
339,8589 -1481,607
339,8649 -1473,232
339,8709 -1463,821
339,8769 -1450,834
339,8829 -1435,723
339,8889 -1420,934
339,8949 -1408,57
339,9009 -1396,358
339,9069 -1378,641
339,9129 -1354,692
339,9189 -1330,16
339,9249 -1311,777
339,9309 -1301,832
339,937 -1293,818
339,9429 -1280,505
339,9489 -1264,672
339,955 -1251,438
339,961 -1240,273
339,967 -1229,711
339,973 -1219,089
339,979 -1207,825
339,985 -1196,699
339,991 -1186,555
339,997 -1177,516
340,003 -1169,52
340,009 -1162,356
340,015 -1155,72
340,021 -1147,106
340,027 -1131,54
340,033 -1109,632
340,039 -1092,046
340,045 -1087,195
340,0511 -1089,975
340,0571 -1088,183
340,063 -1074,986
340,0691 -1055,5
340,0751 -1040,284
340,0811 -1030,659
340,0871 -1019,082
340,0931 -1004,598
340,0991 -994,5472
340,1051 -989,9867
340,1111 -984,5888
340,1171 -976,8239
340,1231 -968,7313
340,1291 -958,788
340,1351 -946,1697
340,1411 -933,5671
340,1472 -922,4828
340,1532 -912,6071
340,1591 -903,5405
340,1652 -893,9695
340,1712 -883,8773
340,1772 -875,8111
340,1832 -868,8851
340,1892 -857,995
340,1952 -843,1218
340,2012 -830,7032
340,2072 -824,0005
340,2132 -819,5049
340,2192 -812,6884
340,2252 -803,0402
340,2312 -792,4388
340,2372 -781,2583
340,2433 -769,9167
340,2492 -760,9513
340,2552 -755,1572
340,2613 -749,2089
340,2673 -739,9691
340,2733 -728,8438
340,2793 -719,9046
340,2853 -714,7836
340,2913 -710,5499
340,2973 -703,0624
340,3033 -692,4238
340,3093 -681,7857
340,3153 -673,0516
340,3213 -667,8182
340,3273 -665,431
340,3333 -660,2316
340,3393 -648,7506
340,3453 -636,0952
340,3513 -629,6697
340,3574 -627,9922
340,3634 -621,2949
340,3694 -606,3126
340,3754 -592,8078
340,3814 -589,0911
340,3874 -590,3071
340,3934 -588,4071
340,3994 -582,9513
340,4054 -575,8582
340,4114 -567,3205
340,4174 -559,5298
340,4234 -552,8183
340,4294 -542,0714
340,4354 -526,4172
340,4414 -512,5613
340,4474 -504,7006
340,4535 -500,5306
340,4595 -495,5077
340,4655 -487,7074
340,4715 -479,9062
340,4775 -475,2586
340,4835 -472,594
340,4895 -468,5244
340,4955 -462,4009
340,5015 -456,653
340,5075 -451,6194
340,5135 -443,8299
340,5195 -432,4465
340,5255 -422,4713
340,5315 -417,7646
340,5375 -415,6559
340,5435 -411,1422
340,5496 -403,3476
340,5555 -395,7711
340,5616 -390,4935
340,5676 -385,4936
340,5736 -379,4496
340,5796 -374,1071
340,5856 -369,1475
340,5916 -360,6547
340,5976 -348,9459
340,6036 -341,4438
340,6096 -341,4662
340,6156 -342,3914
340,6216 -338,9371
340,6276 -332,5475
340,6336 -322,4847
340,6396 -306,3467
340,6457 -290,3018
340,6516 -284,7881
340,6577 -290,3982
340,6637 -296,9327
340,6697 -294,3186
340,6757 -281,6378
340,6817 -267,7878
340,6877 -261,2499
340,6937 -259,8061
340,6997 -256,1697
340,7057 -249,804
340,7117 -244,7869
340,7177 -241,4953
340,7237 -238,2821
340,7297 -235,0234
340,7357 -232,0257
340,7417 -230,1248
340,7477 -228,1423
340,7538 -222,1901
340,7598 -213,7395
340,7658 -208,5617
340,7718 -205,6236
340,7778 -200,2555
340,7838 -193,8962
340,7898 -189,7751
340,7958 -186,4245
340,8018 -181,3411
340,8078 -174,9206
340,8138 -167,7133
340,8198 -158,42
340,8258 -148,3587
340,8318 -141,4683
340,8378 -137,4514
340,8438 -133,414
340,8499 -129,3073
340,8559 -125,6441
340,8618 -121,9486
340,8679 -117,9489
340,8739 -112,6141
340,8799 -106,3386
340,8859 -103,5647
340,8919 -105,4467
340,8979 -104,6064
340,9039 -96,95093
340,9099 -88,27486
340,9159 -82,05945
340,9219 -75,64909
340,9279 -69,27134
340,9339 -66,25126
340,9399 -66,88382
340,946 -67,909
340,952 -66,43127
340,9579 -62,34051
340,964 -56,87139
340,97 -49,85414
340,976 -40,02575
340,982 -28,84284
340,988 -19,87199
340,994 -13,28497
341 -7,188762
335 11,6774
335,006 18,71005
335,012 18,91314
335,018 15,18721
335,024 15,50886
335,03 20,26076
335,036 24,697
335,0421 29,12703
335,048 36,31977
335,054 44,56208
335,0601 51,81816
335,0661 60,27754
335,0721 70,49174
335,0781 78,72652
335,0841 84,07877
335,0901 89,51984
335,0961 94,93892
335,1021 97,91342
335,1081 99,89304
335,1141 105,5724
335,1201 117,7218
335,1261 135,1551
335,1321 154,593
335,1382 171,4565
335,1441 181,4217
335,1501 186,1143
335,1562 192,0461
335,1622 201,3096
335,1682 210,2017
335,1742 216,4414
335,1802 223,085
335,1862 234,9056
335,1922 250,4168
335,1982 262,2865
335,2042 269,9118
335,2102 282,2487
335,2162 302,1873
335,2222 320,4503
335,2282 330,4207
335,2342 335,3262
335,2402 340,2303
335,2462 348,8673
335,2523 362,8527
335,2583 378,8152
335,2643 393,4344
335,2703 408,4198
335,2763 425,7624
335,2823 444,3055
335,2883 462,719
335,2943 480,1951
335,3003 495,8006
335,3063 510,5011
335,3123 524,2115
335,3183 533,5283
335,3243 539,0323
335,3303 545,655
335,3363 554,8776
335,3423 566,1552
335,3484 580,4691
335,3543 597,939
335,3604 617,0943
335,3664 636,3636
335,3724 655,1293
335,3784 673,2599
335,3844 689,437
335,3904 703,1586
335,3964 717,1582
335,4024 733,3591
335,4084 749,7891
335,4144 765,204
335,4204 781,6588
335,4264 800,0751
335,4324 818,2866
335,4384 833,9771
335,4445 847,4634
335,4504 862,3207
335,4565 881,1531
335,4625 901,0544
335,4685 918,067
335,4745 933,2018
335,4805 949,9128
335,4865 970,2285
335,4925 992,9612
335,4985 1012,598
335,5045 1025,382
335,5105 1035,585
335,5165 1049,677
335,5225 1069,077
335,5285 1092,194
335,5345 1118,023
335,5405 1145,354
335,5465 1171,349
335,5526 1193,822
335,5586 1213,903
335,5646 1233,465
335,5706 1253,035
335,5766 1273,366
335,5826 1294,344
335,5886 1315,281
335,5946 1338,594
335,6006 1366,27
335,6066 1394,313
335,6126 1418,526
335,6186 1441,102
335,6246 1464,954
335,6306 1488,653
335,6366 1510,895
335,6426 1532,247
335,6487 1553,943
335,6547 1579,72
335,6607 1611,285
335,6667 1642,322
335,6727 1665,941
335,6787 1684,045
335,6847 1703,684
335,6907 1728,168
335,6967 1755,683
335,7027 1785,174
335,7087 1818,282
335,7147 1853,39
335,7207 1884,501
335,7267 1910,667
335,7327 1938,066
335,7387 1968,607
335,7448 1997,709
335,7508 2024,095
335,7567 2051,36
335,7628 2082,667
335,7688 2118,284
335,7748 2154,982
335,7808 2188,487
335,7868 2217,068
335,7928 2242,577
335,7988 2269,818
335,8048 2301,913
335,8108 2336,427
335,8168 2370,238
335,8228 2404,104
335,8288 2439,867
335,8348 2477,449
335,8409 2514,761
335,8468 2549,151
335,8528 2580,116
335,8589 2611,485
335,8649 2648,604
335,8709 2691,345
335,8769 2734,076
335,8829 2773,563
335,8889 2812,448
335,8949 2854,14
335,9009 2896,376
335,9069 2933,833
335,9129 2967,121
335,9189 3003,251
335,9249 3047,138
335,9309 3096,79
335,937 3145,543
335,9429 3187,552
335,9489 3224,744
335,955 3266,767
335,961 3317,728
335,967 3369,375
335,973 3414,772
335,979 3458,1
335,985 3506,536
335,991 3561,625
335,997 3618,834
336,003 3674,093
336,009 3729,312
336,015 3785,952
336,021 3839,862
336,027 3888,095
336,033 3933,209
336,039 3979,458
336,045 4030,036
336,0511 4087,387
336,0571 4151,39
336,063 4217,603
336,0691 4281,597
336,0751 4343,085
336,0811 4402,86
336,0871 4460,087
336,0931 4515,578
336,0991 4572,134
336,1051 4630,275
336,1111 4690,422
336,1171 4756,165
336,1231 4828,508
336,1291 4903,412
336,1351 4977,044
336,1411 5047,919
336,1472 5117,968
336,1532 5190,32
336,1591 5262,613
336,1652 5332,083
336,1712 5403,811
336,1772 5482,646
336,1832 5565,435
336,1892 5647,438
