335 0,01199505
338,8979 -540,58
338,9039 -535,3137
338,9099 -530,2562
338,9159 -525,1001
338,9219 -519,6585
338,9279 -513,8899
338,9339 -507,8623
338,9399 -501,6899
338,946 -495,4744
338,952 -489,2726
338,9579 -483,095
338,964 -476,9311
338,97 -470,7884
338,976 -464,7284
338,982 -458,8775
338,988 -453,3969
338,994 -448,4216
339 -443,9961
339,006 -440,0443
339,012 -436,3875
339,018 -432,7998
339,024 -429,0729
339,03 -425,0628
339,036 -420,7047
339,0421 -415,9987
339,048 -410,9775
339,054 -405,6799
339,0601 -400,1508
339,0661 -394,4697
339,0721 -388,7814
339,0781 -383,289
339,0841 -378,1912
339,0901 -373,5918
339,0961 -369,4385
339,1021 -365,5361
339,1081 -361,629
339,1141 -357,502
339,1201 -353,0421
339,1261 -348,2402
339,1321 -343,152
339,1382 -337,8577
339,1441 -332,4426
339,1501 -327,0007
339,1562 -321,6503
339,1622 -316,5478
339,1682 -311,8885
339,1742 -307,8813
339,1802 -304,692
339,1862 -302,3714
339,1922 -300,7998
339,1982 -299,6845
339,2042 -298,6231
339,2102 -297,2144
339,2162 -295,1764
339,2222 -292,4243
339,2282 -289,0808
339,2342 -285,4142
339,2402 -281,7339
339,2462 -278,2877
339,2523 -275,2008
339,2583 -272,472
339,2643 -270,0112
339,2703 -267,6883
339,2763 -265,372
339,2823 -262,9527
339,2883 -260,3592
339,2943 -257,5725
339,3003 -254,633
339,3063 -251,6301
339,3123 -248,6739
339,3183 -245,8575
339,3243 -243,2281
339,3303 -240,7811
339,3363 -238,4753
339,3423 -236,259
339,3484 -234,0894
339,3543 -231,9388
339,3604 -229,7908
339,3664 -227,6334
339,3724 -225,4534
339,3784 -223,2285
339,3844 -220,9193
339,3904 -218,47
339,3964 -215,8284
339,4024 -212,9883
339,4084 -210,0324
339,4144 -207,1425
339,4204 -204,5533
339,4264 -202,457
339,4324 -200,9036
339,4384 -199,7555
339,4445 -198,7332
339,4504 -197,5398
339,4565 -196,0017
339,4625 -194,1465
339,4685 -192,1686
339,4745 -190,2979
339,4805 -188,6451
339,4865 -187,1167
339,4925 -185,4537
339,4985 -183,373
339,5045 -180,7354
339,5105 -177,6456
339,5165 -174,431
339,5225 -171,5128
339,5285 -169,239
339,5345 -167,7604
339,5405 -167,0045
339,5465 -166,7421
339,5526 -166,7001
339,5586 -166,6599
339,5646 -166,5033
339,5706 -166,2009
339,5766 -165,7659
339,5826 -165,2046
339,5886 -164,4892
339,5946 -163,5656
339,6006 -162,3923
339,6066 -160,9866
339,6126 -159,4431
339,6186 -157,9021
339,6246 -156,4755
339,6306 -155,1774
339,6366 -153,9112
339,6426 -152,5355
339,6487 -150,9702
339,6547 -149,274
339,6607 -147,6339
339,6667 -146,2698
339,6727 -145,3111
339,6787 -144,7231
339,6847 -144,3238
339,6907 -143,8728
339,6967 -143,1729
339,7027 -142,1304
339,7087 -140,7589
339,7147 -139,1457
339,7207 -137,4141
339,7267 -135,6934
339,7327 -134,0945
339,7387 -132,684
339,7448 -131,4649
339,7508 -130,3766
339,7567 -129,3253
339,7628 -128,231
339,7688 -127,0674
339,7748 -125,8704
339,7808 -124,7099
339,7868 -123,6375
339,7928 -122,6389
339,7988 -121,6172
339,8048 -120,4193
339,8108 -118,8999
339,8168 -116,995
339,8228 -114,7725
339,8288 -112,4354
339,8348 -110,271
