
336 9,778974
337,7628 -29358,04
337,7658 -28611,13
337,7688 -27767,41
337,7718 -26843,94
337,7748 -26149,66
337,7778 -25460,29
337,7808 -24718,09
337,7838 -24155,35
337,7868 -23351,58
337,7898 -22599,24
337,7928 -21989,09
337,7958 -21474,08
337,7988 -20824,35
337,8018 -20085,55
337,8048 -19627,52
337,8078 -19088,19
337,8108 -18575,93
337,8138 -18036,11
337,8168 -17555,17
337,8198 -17081,84
337,8228 -16617,19
337,8258 -16141,27
337,8288 -15686,1
337,8318 -15227,1
337,8348 -14710,26
337,8378 -14307,1
337,8409 -13853,19
337,8438 -13507,63
337,8468 -13050
337,8499 -12701,31
337,8528 -12404,36
337,8559 -12050,69
337,8589 -11722,59
337,8618 -11382,89
337,8649 -11083,56
337,8679 -10768,31
337,8709 -10519,65
337,8739 -10229,45
337,8769 -9935,212
337,8799 -9649,948
337,8829 -9422,781
337,8859 -9184,341
337,8889 -8904,107
337,8919 -8656,438
337,8949 -8423,614
337,8979 -8196,706
337,9009 -7971,229
337,9039 -7797,118
337,9069 -7598,151
337,9099 -7366,838
337,9129 -7177,624
337,9159 -7003,451
337,9189 -6831,412
337,9219 -6689,02
337,9249 -6542,917
337,9279 -6406,388
337,9309 -6251,776
337,9339 -6079,607
337,937 -5935,75
337,9399 -5816,585
337,9429 -5690,422
337,946 -5557,449
337,9489 -5428,165
337,952 -5289,117
337,955 -5154,142
337,9579 -5072,011
337,961 -4976,98
337,964 -4866,483
337,967 -4754,662
337,97 -4646,284
337,973 -4550,167
337,976 -4462,346
337,979 -4365,431
337,982 -4251,364
337,985 -4168,237
337,988 -4073,576
337,991 -3980,531
337,994 -3920,7
337,997 -3832,053
338 -3731,671
338,003 -3679,46
338,006 -3576,828
338,009 -3539,493
338,012 -3451,274
338,015 -3382,522
338,018 -3333,275
338,021 -3274,047
338,024 -3188,657
338,027 -3111,98
338,03 -3076,021
338,033 -3028,526
338,036 -2930,854
338,039 -2885,066
338,0421 -2828,5
338,045 -2802,377
338,048 -2736,298
338,0511 -2684,274
338,054 -2630,59
338,0571 -2593,062
338,0601 -2551,048
338,063 -2506,989
338,0661 -2442,957
338,0691 -2415,51
338,0721 -2378,571
338,0751 -2331,645
338,0781 -2292,424
338,0811 -2261,315
338,0841 -2234,064
338,0871 -2191,309
338,0901 -2153,52
338,0931 -2116,496
338,0961 -2079,72
338,0991 -2048,5
338,1021 -1994,486
338,1051 -1977,276
338,1081 -1960,471
338,1111 -1925,898
338,1141 -1881,16
338,1171 -1855,552
338,1201 -1832,315
338,1231 -1782,36
338,1261 -1759,524
338,1291 -1748,867
338,1321 -1722,709
338,1351 -1695,887
338,1382 -1666,563
338,1411 -1656,734
338,1441 -1595,955
338,1472 -1601,28
338,1501 -1555,817
338,1532 -1545,558
338,1562 -1525,2
338,1591 -1508,57
338,1622 -1478,93
338,1652 -1457,58
338,1682 -1423,193
338,1712 -1411,42
338,1742 -1401,408
338,1772 -1367,519
338,1802 -1362,659
338,1832 -1342,009
338,1862 -1320,249
338,1892 -1297,051
338,1922 -1288,046
338,1952 -1266,141
338,1982 -1248,278
338,2012 -1232,131
338,2042 -1221,315
338,2072 -1186,245
338,2102 -1186,692
338,2132 -1175,15
338,2162 -1140,939
338,2192 -1139,731
338,2222 -1137,565
338,2252 -1104,161
338,2282 -1094,795
338,2312 -1076,643
338,2342 -1077,104
338,2372 -1071,855
338,2402 -1052,54
338,2433 -1044,41
338,2462 -1013,261
338,2492 -1010,333
338,2523 -988,3604
338,2552 -985,5335
338,2583 -972,7379
338,2613 -950,8238
338,2643 -934,9527
338,2673 -933,9626
338,2703 -917,7924
338,2733 -919,2985
338,2763 -905,0587
338,2793 -896,3359
338,2823 -884,6702
338,2853 -853,7497
338,2883 -844,9714
338,2913 -860,7034
338,2943 -848,8449
338,2973 -836,3373
338,3003 -816,0633
338,3033 -812,4581
338,3063 -800,258
338,3093 -795,1739
338,3123 -784,7263
338,3153 -769,5039
338,3183 -774,2486
338,3213 -750,5502
338,3243 -737,2566
338,3273 -733,3141
338,3303 -730,9623
338,3333 -717,6051
338,3363 -727,1352
338,3393 -704,4831
338,3423 -699,2047
338,3453 -688,0215
338,3484 -673,4984
338,3513 -659,1125
338,3543 -677,594
338,3574 -660,4835
338,3604 -657,3555
338,3634 -654,5209
338,3664 -654,2471
338,3694 -641,4578
338,3724 -627,874
338,3754 -630,0947
338,3784 -627,6493
338,3814 -629,6307
338,3844 -614,0333
338,3874 -596,5641
338,3904 -593,7319
338,3934 -594,7426
338,3964 -590,1199
338,3994 -574,991
338,4024 -564,9257
338,4054 -577,2811
338,4084 -563,5716
338,4114 -554,5367
338,4144 -561,4093
338,4174 -555,7557
338,4204 -537,6052
338,4234 -525,7114
338,4264 -528,6008
338,4294 -514,8062
338,4324 -525,2865
338,4354 -533,2857
338,4384 -508,0877
338,4414 -495,575
338,4445 -510,0717
338,4474 -490,0868
338,4504 -501,3242
338,4535 -490,0152
338,4565 -471,8718
338,4595 -479,1343
338,4625 -476,4287
338,4655 -471,8331
338,4685 -466,9499
338,4715 -464,0585
338,4745 -459,1482
338,4775 -462,4051
338,4805 -452,0471
338,4835 -442,9667
338,4865 -439,3826
338,4895 -427,0518
338,4925 -454,3107
338,4955 -440,068
