333 13,7841
336,7638 14815,16
336,7718 14686,64
336,7798 14551,51
336,7878 14410,29
336,7958 14263,78
336,8038 14112,99
336,8118 13959,03
336,8198 13802,91
336,8278 13645,09
336,8358 13485,04
336,8438 13321,16
336,8518 13151,53
336,8599 12974,96
336,8679 12791,66
336,8759 12602,9
336,8839 12409,92
336,8919 12213,07
336,8999 12011,92
336,9079 11805,95
336,9159 11595,34
336,9239 11381,04
336,9319 11164,34
336,9399 10946,1
336,9479 10726,24
336,956 10503,8
336,964 10277,45
336,972 10046,37
336,98 9810,905
336,988 9572,539
336,996 9332,909
337,004 9092,695
337,012 8851,346
337,02 8607,874
337,028 8361,773
337,036 8113,18
337,044 7862,458
337,0521 7610,006
337,0601 7356,39
337,0681 7102,253
337,0761 6847,811
337,0841 6592,542
337,0921 6335,698
337,1001 6077,227
337,1081 5818,181
337,1161 5560,197
337,1241 5304,625
337,1321 5052,074
337,1401 4802,51
337,1482 4555,487
337,1562 4310,244
337,1642 4065,733
337,1722 3820,819
337,1802 3574,634
337,1882 3326,952
337,1962 3078,375
337,2042 2830,168
337,2122 2583,68
337,2202 2339,679
337,2282 2098,171
337,2362 1858,887
337,2442 1621,895
337,2523 1387,562
337,2603 1155,926
337,2683 926,273
337,2763 697,4982
337,2843 468,8646
337,2923 240,3318
337,3003 12,23208
337,3083 -215,1886
337,3163 -441,8535
337,3243 -667,6246
337,3323 -892,1475
337,3403 -1114,948
337,3484 -1335,641
337,3564 -1554,129
337,3643 -1770,76
337,3724 -1986,297
337,3804 -2201,497
337,3884 -2416,456
337,3964 -2630,36
337,4044 -2842,024
337,4124 -3050,797
337,4204 -3256,956
337,4284 -3461,169
337,4364 -3663,525
337,4445 -3863,111
337,4525 -4058,671
337,4604 -4249,759
337,4685 -4437,206
337,4765 -4622,424
337,4845 -4806,322
337,4925 -4988,981
337,5005 -5170,277
337,5085 -5350,484
337,5165 -5530,041
337,5245 -5708,781
337,5325 -5885,664
337,5405 -6059,48
337,5486 -6229,893
337,5565 -6397,747
337,5646 -6564,36
337,5726 -6730,489
337,5806 -6895,825
337,5886 -7059,204
337,5966 -7219,184
337,6046 -7374,669
337,6126 -7525,414
337,6206 -7672,252
337,6286 -7816,831
337,6366 -7960,86
337,6447 -8105,245
337,6526 -8249,661
337,6607 -8392,93
337,6687 -8533,977
337,6767 -8672,628
337,6847 -8809,587
337,6927 -8945,685
337,7007 -9081,042
337,7087 -9214,703
337,7167 -9344,878
337,7247 -9469,756
337,7327 -9588,567
337,7408 -9702,276
337,7487 -9813,284
337,7567 -9924,291
337,7648 -10037,07
337,7728 -10151,88
337,7808 -10267,58
337,7888 -10382,33
337,7968 -10494,46
337,8048 -10602,99
337,8128 -10707,73
337,8208 -10808,89
337,8288 -10906,69
337,8368 -11001,25
337,8448 -11092,56
337,8528 -11180,73
337,8609 -11266,17
337,8689 -11349,56
337,8769 -11431,52
337,8849 -11512,27
337,8929 -11591,54
337,9009 -11668,87
337,9089 -11743,96
337,9169 -11816,8
337,9249 -11887,6
337,9329 -11956,59
337,9409 -12023,81
337,9489 -12088,98
337,957 -12151,61
337,965 -12211,47
337,973 -12268,9
337,981 -12324,57
337,989 -12378,77
337,997 -12431,1
338,005 -12480,76
338,013 -12527,27
338,021 -12570,84
338,029 -12612,07
338,037 -12651,26
338,045 -12688,08
338,053 -12721,66
338,0611 -12751
338,0691 -12775,39
338,0771 -12794,83
338,0851 -12810,45
338,0931 -12824,62
338,1011 -12840,17
338,1091 -12859,1
338,1171 -12881,49
338,1251 -12905,45
338,1331 -12927,96
338,1411 -12946,08
338,1491 -12957,64
338,1572 -12961,72
338,1652 -12959,16
338,1732 -12952,67
338,1812 -12945,79
338,1892 -12941
338,1972 -12938,35
338,2052 -12935,88
338,2132 -12931,26
338,2212 -12923,06
338,2292 -12911,01
338,2372 -12895,66
338,2452 -12878,08
338,2533 -12859,5
338,2613 -12840,74
338,2693 -12821,52
338,2773 -12800,46
338,2853 -12775,67
338,2933 -12746
338,3013 -12711,72
338,3093 -12674,58
338,3173 -12636,96
338,3253 -12600,85
338,3333 -12566,99
338,3413 -12534,89
338,3493 -12503,49
338,3574 -12471,75
338,3654 -12438,81
338,3734 -12403,92
338,3814 -12366,43
338,3894 -12325,94
338,3974 -12282,25
338,4054 -12235,06
338,4134 -12184,12
338,4214 -12129,86
338,4294 -12073,79
338,4374 -12017,9
338,4454 -11963,43
338,4535 -11909,96
338,4615 -11855,75
338,4695 -11798,89
338,4775 -11738,6
338,4855 -11675,73
338,4935 -11612,24
338,5015 -11549,86
338,5095 -11489,11
338,5175 -11429,31
338,5255 -11369,52
338,5335 -11309,31
338,5415 -11248,89
338,5496 -11188,63
338,5576 -11128,63
