
335 15,52223
340,5075 9,045182
340,5135 8,275991
340,5195 23,51512
340,5255 2,314335
340,5315 -0,5158365
340,5375 15,36122
340,5435 22,54575
340,5496 16,17842
340,5555 18,52464
340,5616 11,89883
340,5676 14,35305
340,5736 11,14184
340,5796 14,50075
340,5856 -0,02628552
340,5916 -2,148006
340,5976 16,52863
340,6036 24,81719
340,6096 15,04454
340,6156 24,64463
340,6216 17,72666
340,6276 12,62015
340,6336 16,9349
340,6396 15,503
340,6457 7,869957
340,6516 22,11861
340,6577 18,19582
340,6637 5,605265
340,6697 27,31746
340,6757 5,686077
340,6817 16,85668
340,6877 7,383701
340,6937 19,67076
340,6997 29,32805
340,7057 3,849467
340,7117 8,273444
340,7177 14,12961
340,7237 18,43157
340,7297 20,44768
340,7357 6,559117
340,7417 7,602149
340,7477 8,272834
340,7538 13,26336
340,7598 10,81534
340,7658 6,217401
340,7718 10,00268
340,7778 11,43554
340,7838 10,89634
340,7898 11,57043
340,7958 24,61691
340,8018 15,87596
340,8078 18,98178
340,8138 14,33057
340,8198 -0,504521
340,8258 4,743019
340,8318 12,6186
340,8378 13,12316
340,8438 20,39622
340,8499 34,47528
340,8559 26,35893
340,8618 18,14541
340,8679 -9,189506
340,8739 26,23953
340,8799 27,646
340,8859 9,621011
340,8919 10,29997
340,8979 28,56958
340,9039 18,28847
340,9099 8,086449
340,9159 7,018795
340,9219 13,51492
340,9279 10,84507
340,9339 26,96699
340,9399 16,37483
340,946 28,88685
340,952 3,948587
340,9579 16,48059
340,964 11,62075
340,97 12,01626
340,976 1,142115
340,982 31,79157
340,988 24,39759
340,994 29,40207
341 18,11477
335 -13,14761
335,006 17,37219
335,012 26,81507
335,018 22,74034
335,024 22,11039
335,03 23,223
335,036 12,87201
335,0421 15,77191
335,048 -18,58113
335,054 -3,427744
335,0601 12,88997
335,0661 12,39492
335,0721 16,93405
335,0781 -9,964092
335,0841 -4,177684
335,0901 6,817737
335,0961 21,46746
335,1021 27,48448
335,1081 -13,02368
335,1141 17,22384
335,1201 15,75298
335,1261 -7,947464
335,1321 13,36022
335,1382 21,52276
335,1441 22,65017
335,1501 0,6081776
335,1562 10,13388
335,1622 17,4267
335,1682 22,10729
335,1742 -16,1252
335,1802 0,8491551
335,1862 8,23633
335,1922 3,907068
335,1982 -8,789486
335,2042 22,31954
335,2102 0,04305141
