336 -7,883062
337,8528 -33854,62
337,8559 -33049,03
337,8589 -32230
337,8618 -31534,25
337,8649 -30578,29
337,8679 -29803,36
337,8709 -29184,55
337,8739 -28370,67
337,8769 -27565,53
337,8799 -26953,96
337,8829 -26287,7
337,8859 -25634,12
337,8889 -24927,19
337,8919 -24300,23
337,8949 -23531,88
337,8979 -22961,8
337,9009 -22331,11
337,9039 -21756,01
337,9069 -21159,43
337,9099 -20678,35
337,9129 -20048,15
337,9159 -19552,15
337,9189 -19015,13
337,9219 -18568,43
337,9249 -18057,42
337,9279 -17530,47
337,9309 -17107,63
337,9339 -16674,98
337,937 -16259
337,9399 -15850,83
337,9429 -15471,37
337,946 -15047,39
337,9489 -14674,04
337,952 -14329,78
337,955 -13959,84
337,9579 -13616,35
337,961 -13240,27
337,964 -12948,27
337,967 -12610,87
337,97 -12300,22
337,973 -11961,85
337,976 -11672,06
337,979 -11426,25
337,982 -11172,24
337,985 -10915,21
337,988 -10706,97
337,991 -10437,87
337,994 -10169,33
337,997 -9954,045
338 -9677,635
338,003 -9507,765
338,006 -9323,087
338,009 -9092,51
338,012 -8898,244
338,015 -8704,187
338,018 -8512,814
338,021 -8330,848
338,024 -8094,967
338,027 -7924,14
338,03 -7760,309
338,033 -7622,007
338,036 -7453,921
338,039 -7288,997
338,0421 -7178,271
338,045 -6980,008
338,048 -6834,834
338,0511 -6713,335
338,054 -6575,084
338,0571 -6436,591
338,0601 -6344,585
338,063 -6207,471
338,0661 -6095,906
338,0691 -5985,967
338,0721 -5883,738
338,0751 -5753,902
338,0781 -5667,963
338,0811 -5564,177
338,0841 -5442,583
338,0871 -5354,489
338,0901 -5229,467
338,0931 -5158,36
338,0961 -5070,251
338,0991 -4969,275
338,1021 -4854,47
338,1051 -4776,131
338,1081 -4702,175
338,1111 -4637,694
338,1141 -4565,297
338,1171 -4480,752
338,1201 -4371,446
338,1231 -4285,044
338,1261 -4224,87
338,1291 -4158,837
338,1321 -4092,038
338,1351 -4019,367
338,1382 -3951,233
338,1411 -3894,863
338,1441 -3842,827
338,1472 -3769,973
338,1501 -3692,36
338,1532 -3637,34
338,1562 -3579,043
338,1591 -3557,485
338,1622 -3487,398
338,1652 -3417,029
338,1682 -3372,315
338,1712 -3327,723
338,1742 -3275,463
338,1772 -3219,632
338,1802 -3185,922
338,1832 -3127,931
338,1862 -3067,096
338,1892 -3038,32
338,1922 -2965,264
338,1952 -2939,525
338,1982 -2872,09
338,2012 -2844,099
338,2042 -2791,195
338,2072 -2777,194
338,2102 -2740,248
338,2132 -2672,449
338,2162 -2656,475
338,2192 -2613,654
338,2222 -2579,5
338,2252 -2546,249
338,2282 -2508,508
338,2312 -2474,127
338,2342 -2434,965
338,2372 -2409,4
338,2402 -2361,353
338,2433 -2335,341
338,2462 -2306,54
338,2492 -2281,256
338,2523 -2254,488
338,2552 -2219,002
338,2583 -2196,263
338,2613 -2163,102
338,2643 -2149,498
338,2673 -2117,783
338,2703 -2094,908
338,2733 -2068,934
338,2763 -2036,76
338,2793 -2020,005
338,2823 -1994,184
338,2853 -1952,906
338,2883 -1938,078
338,2913 -1921,551
338,2943 -1893,035
338,2973 -1866,599
338,3003 -1848,947
338,3033 -1825,554
338,3063 -1809,809
338,3093 -1787,381
338,3123 -1768,295
338,3153 -1727,785
338,3183 -1720,067
338,3213 -1707,02
338,3243 -1692,418
338,3273 -1657,445
338,3303 -1640,202
338,3333 -1624,984
338,3363 -1607,304
338,3393 -1595,282
338,3423 -1583,786
338,3453 -1569,28
338,3484 -1543,807
338,3513 -1526,692
338,3543 -1515,915
338,3574 -1504,595
338,3604 -1482,048
338,3634 -1444,504
338,3664 -1457,249
338,3694 -1447,221
338,3724 -1429,378
338,3754 -1410,242
338,3784 -1390,174
338,3814 -1373,65
338,3844 -1363,811
338,3874 -1349,371
338,3904 -1334,941
338,3934 -1320,058
338,3964 -1310,354
338,3994 -1299,365
338,4024 -1277,243
338,4054 -1276,481
338,4084 -1262,183
338,4114 -1249,64
338,4144 -1246,996
338,4174 -1221,547
338,4204 -1219,556
338,4234 -1206,321
338,4264 -1182,513
338,4294 -1173,784
338,4324 -1168,448
338,4354 -1161,107
338,4384 -1151,057
338,4414 -1133,834
338,4445 -1136,048
338,4474 -1119,355
338,4504 -1111,154
338,4535 -1101,471
338,4565 -1108,237
338,4595 -1067,564
338,4625 -1066,425
338,4655 -1055,017
338,4685 -1051,704
338,4715 -1043,133
338,4745 -1043,697
338,4775 -1027,785
338,4805 -1023,569
338,4835 -1006,568
338,4865 -989,6794
338,4895 -981,7061
338,4925 -978,8121
338,4955 -983,8469
338,4985 -976,0547
338,5015 -958,0652
338,5045 -947,1053
338,5075 -937,7966
338,5105 -940,4746
338,5135 -926,5483
338,5165 -928,0154
338,5195 -913,4538
338,5225 -916,3768
338,5255 -907,765
338,5285 -902,1398
338,5315 -874,1605
338,5345 -869,6788
338,5375 -861,8549
338,5405 -858,5094
338,5435 -857,0161
338,5465 -835,1266
338,5496 -834,2222
338,5526 -818,0219
338,5555 -825,1852
338,5586 -834,6951
338,5616 -835,4104
338,5646 -814,0825
338,5676 -797,6183
338,5706 -798,5873
338,5736 -792,4906
338,5766 -780,272
338,5796 -775,3857
338,5826 -784,0282
338,5856 -771,6194
338,5886 -770,8478
338,5916 -761,0886
338,5946 -754,1513
338,5976 -756,8752
338,6006 -732,0659
338,6036 -746,9478
338,6066 -763,0756
338,6096 -731,8866
338,6126 -732,7069
338,6156 -706,372
338,6186 -716,1027
338,6216 -715,8569
338,6246 -719,3952
338,6276 -695,8834
338,6306 -688,7736
338,6336 -689,7552
338,6366 -697,2451
338,6396 -681,0125
338,6426 -676,6008
338,6457 -669,1971
338,6487 -674,6352
338,6516 -673,4894
338,6547 -664,3145
338,6577 -650,736
338,6607 -656,8918
338,6637 -646,4937
338,6667 -650,9321
338,6697 -628,7415
338,6727 -632,6409
338,6757 -633,7991
338,6787 -624,6083
338,6817 -624,7454
338,6847 -626,98
338,6877 -603,1964
338,6907 -618,8253
338,6937 -612,7382
338,6967 -614,3785
338,6997 -602,1831
338,7027 -601,9905
338,7057 -595,9204
338,7087 -592,63
338,7117 -594,1185
338,7147 -585,1281
338,7177 -585,9434
338,7207 -578,6238
338,7237 -575,4901
338,7267 -560,2181
338,7297 -569,2794
338,7327 -564,4131
338,7357 -568,6996
338,7387 -562,3114
338,7417 -558,0114
338,7448 -551,1887
338,7477 -553,088
338,7508 -543,1229
338,7538 -543,9713
338,7567 -548,5004
338,7598 -536,4847
338,7628 -538,0388
338,7658 -538,6628
338,7688 -529,3286
338,7718 -515,5132
338,7748 -519,2963
338,7778 -518,9507
338,7808 -521,1318
338,7838 -520,5134
338,7868 -519,3245
338,7898 -516,9046
338,7928 -509,352
338,7958 -507,478
338,7988 -506,4397
338,8018 -501,8342
338,8048 -495,7186
338,8078 -500,9042
338,8108 -501,5752
338,8138 -489,0452
338,8168 -493,6352
338,8198 -494,168
338,8228 -478,4865
338,8258 -481,0737
338,8288 -486,8815
338,8318 -466,2491
338,8348 -484,4995
338,8378 -480,455
338,8409 -471,5868
338,8438 -466,6181
338,8468 -469,8598
338,8499 -453,7427
338,8528 -463,5296
338,8559 -471,4212
338,8589 -455,2349
338,8618 -455,3044
338,8649 -441,7581
338,8679 -463,0305
338,8709 -446,4294
338,8739 -442,6336
338,8769 -452,8209
338,8799 -448,5295
338,8829 -445,3488
338,8859 -431,5174
338,8889 -434,5135
338,8919 -443,5779
338,8949 -443,457
338,8979 -443,764
338,9009 -431,7756
338,9039 -435,084
338,9069 -438,6957
338,9099 -422,6121
338,9129 -422,9248
338,9159 -405,5281
338,9189 -422,899
338,9219 -425,1094
338,9249 -421,0297
338,9279 -418,3463
338,9309 -407,7141
338,9339 -419,2296
338,937 -418,3394
338,9399 -396,1816
338,9429 -409,3878
338,946 -410,4119
338,9489 -414,395
338,952 -402,8068
338,955 -400,4593
338,9579 -409,0752
338,961 -404,2246
338,964 -382,1107
338,967 -394,2663
338,97 -384,3845
338,973 -390,6073
338,976 -372,5747
338,979 -391,729
338,982 -386,6295
338,985 -380,3758
338,988 -392,9291
338,991 -369,8934
338,994 -384,2711
338,997 -376,088
339 -367,3426
