335 -12,16104
339,3844 -1319,447
339,3904 -1305,519
339,3964 -1292,471
339,4024 -1280,181
339,4084 -1268,844
339,4144 -1258,907
339,4204 -1250,65
339,4264 -1243,547
339,4324 -1236,09
339,4384 -1226,546
339,4445 -1214
339,4504 -1198,782
339,4565 -1182,085
339,4625 -1165,34
339,4685 -1149,718
339,4745 -1135,757
339,4805 -1123,309
339,4865 -1112,081
339,4925 -1102,107
339,4985 -1093,309
339,5045 -1084,798
339,5105 -1075,25
339,5165 -1063,936
339,5225 -1051,079
339,5285 -1037,519
339,5345 -1024,442
339,5405 -1013,002
339,5465 -1003,664
339,5526 -995,9327
339,5586 -988,853
339,5646 -981,5884
339,5706 -973,4728
339,5766 -964,014
339,5826 -953,3791
339,5886 -942,6442
339,5946 -932,8792
339,6006 -923,9076
339,6066 -914,536
339,6126 -904,1619
339,6186 -893,6879
339,6246 -884,6234
339,6306 -877,5735
339,6366 -871,7695
339,6426 -865,8184
339,6487 -858,7435
339,6547 -850,5585
339,6607 -842,1606
339,6667 -834,579
339,6727 -827,9991
339,6787 -821,4659
339,6847 -813,7385
339,6907 -804,4388
339,6967 -794,2508
339,7027 -784,2248
339,7087 -775,1884
339,7147 -767,5611
339,7207 -761,2253
339,7267 -755,5603
339,7327 -749,8717
339,7387 -743,8298
339,7448 -737,4915
339,7508 -731,0403
339,7567 -724,5132
339,7628 -717,6708
339,7688 -710,1689
339,7748 -701,9305
339,7808 -693,3179
339,7868 -684,9301
339,7928 -677,2847
339,7988 -670,6591
339,8048 -665,1106
339,8108 -660,5522
339,8168 -656,7445
339,8228 -653,1699
339,8288 -649,0071
339,8348 -643,4376
339,8409 -636,087
339,8468 -627,2566
339,8528 -617,9562
339,8589 -609,6718
339,8649 -603,4995
339,8709 -599,0435
339,8769 -594,4486
339,8829 -588,0461
339,8889 -580,1059
339,8949 -572,7477
339,9009 -567,846
339,9069 -564,9849
339,9129 -561,7498
339,9189 -556,11
339,9249 -548,1741
339,9309 -539,6545
339,937 -532,3525
339,9429 -527,3875
339,9489 -524,9745
339,955 -524,1962
339,961 -523,3579
339,967 -521,0823
339,973 -516,9599
339,979 -511,1471
339,985 -503,8344
339,991 -495,3617
339,997 -486,4978
340,003 -478,2701
340,009 -471,5208
340,015 -466,5078
340,021 -462,603
340,027 -458,4355
340,033 -452,8487
340,039 -445,9317
340,045 -438,8736
340,0511 -432,838
340,0571 -428,2458
340,063 -424,8406
340,0691 -421,7973
340,0751 -417,9316
340,0811 -412,6561
340,0871 -406,9371
340,0931 -402,6979
340,0991 -400,9732
340,1051 -400,9046
340,1111 -400,5139
340,1171 -398,145
340,1231 -393,4423
340,1291 -387,6009
340,1351 -382,6463
340,1411 -379,8711
340,1472 -378,7177
340,1532 -377,3047
340,1591 -374,1347
340,1652 -369,4001
340,1712 -364,6626
340,1772 -361,145
340,1832 -358,4482
340,1892 -355,2231
340,1952 -350,8589
340,2012 -345,9948
340,2072 -341,5478
340,2132 -337,8305
340,2192 -334,5207
340,2252 -330,8875
340,2312 -326,07
340,2372 -319,824
340,2433 -313,2857
340,2492 -308,5426
340,2552 -306,9435
340,2613 -307,7099
340,2673 -308,2392
340,2733 -305,8583
340,2793 -299,5734
340,2853 -290,4788
340,2913 -280,6382
340,2973 -271,5469
340,3033 -263,5132
340,3093 -256,2043
340,3153 -249,4991
340,3213 -243,8429
340,3273 -239,988
340,3333 -238,3622
340,3393 -238,5056
340,3453 -239,1449
340,3513 -238,9818
340,3574 -237,4746
340,3634 -234,9333
340,3694 -232,0683
340,3754 -229,5034
340,3814 -227,4717
340,3874 -225,7061
340,3934 -223,642
340,3994 -220,9514
340,4054 -218,0717
340,4114 -216,1718
340,4174 -216,2651
340,4234 -218,0173
340,4294 -219,4554
340,4354 -218,1708
340,4414 -213,1536
340,4474 -205,7429
340,4535 -198,8161
340,4595 -194,5837
340,4655 -192,7611
340,4715 -191,0988
340,4775 -187,8769
340,4835 -183,5107
340,4895 -179,642
340,4955 -177,2749
340,5015 -176,11
340,5075 -175,2385
340,5135 -173,9885
340,5195 -172,0861
340,5255 -169,3476
340,5315 -165,6378
340,5375 -161,218
340,5435 -156,7913
340,5496 -152,9666
340,5555 -149,8384
340,5616 -147,1319
340,5676 -144,4629
340,5736 -141,4021
340,5796 -137,6517
340,5856 -133,3618
340,5916 -129,1127
340,5976 -125,4615
340,6036 -122,6094
340,6096 -120,6233
340,6156 -119,8176
340,6216 -120,4432
340,6276 -121,6979
340,6336 -121,4881
340,6396 -117,97
340,6457 -111,4568
340,6516 -104,3767
340,6577 -99,35503
340,6637 -97,56873
340,6697 -98,46605
340,6757 -100,3238
340,6817 -101,2847
340,6877 -100,6129
340,6937 -99,02086
340,6997 -97,45278
340,7057 -95,75128
340,7117 -92,92642
340,7177 -88,66326
340,7237 -84,16698
340,7297 -81,19379
340,7357 -80,23895
340,7417 -80,08651
340,7477 -79,33802
340,7538 -77,82861
340,7598 -76,15716
340,7658 -74,49507
340,7718 -72,57639
340,7778 -70,51804
340,7838 -68,97916
340,7898 -68,51869
340,7958 -69,06773
340,8018 -69,86534
340,8078 -69,64023
340,8138 -67,10373
340,8198 -61,81542
340,8258 -54,7784
340,8318 -47,95675
340,8378 -42,90972
340,8438 -39,78251
340,8499 -37,64629
340,8559 -35,77726
340,8618 -34,48657
340,8679 -34,67702
340,8739 -36,63742
340,8799 -39,3298
340,8859 -41,02264
340,8919 -40,68192
340,8979 -38,47792
340,9039 -34,95464
340,9099 -30,38406
340,9159 -25,24431
340,9219 -20,62836
340,9279 -17,52625
340,9339 -15,8924
340,9399 -14,8121
340,946 -13,58535
340,952 -12,41176
340,9579 -11,86532
340,964 -11,87783
340,97 -11,59646
340,976 -10,26538
340,982 -7,959279
340,988 -5,395976
340,994 -3,259356
341 -1,7971
