
336 -18,12877
337,4865 37249,93
337,4895 35701,04
337,4925 34389,35
337,4955 33123,05
337,4985 31334,3
337,5015 29947,02
337,5045 28410,56
337,5075 26835,29
337,5105 25502,06
337,5135 24142,14
337,5165 22931,35
337,5195 21283,32
337,5225 19390,89
337,5255 17790,78
337,5285 16290,35
337,5315 14431,85
337,5345 12578,71
337,5375 11001,91
337,5405 9395,319
337,5435 7702,255
337,5465 5641,87
337,5496 3754,874
337,5526 2018,121
337,5555 418,3919
337,5586 -1582,819
337,5616 -3079,92
337,5646 -4630,495
337,5676 -6357,797
337,5706 -8413,003
337,5736 -10018,25
337,5766 -11874,95
337,5796 -13625,72
337,5826 -15487,39
337,5856 -17231,75
337,5886 -18644,45
337,5916 -20121,03
337,5946 -21924,02
337,5976 -23678,56
337,6006 -25571,78
337,6036 -27249,13
337,6066 -28989,69
337,6096 -30532,58
337,6126 -32386,72
337,6156 -33742,42
337,6186 -35343,91
337,6216 -36754,41
337,6246 -38178,3
337,6276 -39505,4
337,6306 -41098,23
337,6336 -42586,54
337,6366 -43999,25
337,6396 -45189,82
337,6426 -46311,65
337,6457 -47479,89
337,6487 -48500,09
337,6516 -49447,04
337,6547 -50305,27
337,6577 -51267,96
337,6607 -52035,62
337,6637 -52640,26
337,6667 -53340,99
337,6697 -54041,28
337,6727 -54487,96
337,6757 -54936,71
337,6787 -55382,94
337,6817 -55650,25
337,6847 -55846,68
337,6877 -56101,64
337,6907 -56164,29
337,6937 -56122,86
337,6967 -56222,95
337,6997 -56122,58
337,7027 -55906,34
337,7057 -55785,09
337,7087 -55591,21
337,7117 -55249,59
337,7147 -54989,51
337,7177 -54688,99
337,7207 -54271,61
337,7237 -53902,79
337,7267 -53473,72
337,7297 -53152,99
337,7327 -52716,36
337,7357 -52259,5
337,7387 -51810,28
337,7417 -51262,93
337,7448 -50747,14
337,7477 -50163,33
337,7508 -49717,67
337,7538 -49182,44
337,7567 -48613,23
337,7598 -47999,4
337,7628 -47442,45
337,7658 -46672,75
337,7688 -45972,24
337,7718 -45247,29
337,7748 -44529
337,7778 -43731,25
337,7808 -42968,68
337,7838 -42255,44
337,7868 -41384,32
337,7898 -40522,85
337,7928 -39550,13
337,7958 -38993,99
337,7988 -37993,26
337,8018 -37212,21
337,8048 -36439,76
337,8078 -35459,36
337,8108 -34535,66
337,8138 -33680,52
337,8168 -32852,88
337,8198 -31900,86
337,8228 -31147,35
337,8258 -30235,28
337,8288 -29398,72
337,8318 -28655,24
337,8348 -27941,46
337,8378 -27337,05
337,8409 -26514,65
337,8438 -25895,54
337,8468 -25175,5
337,8499 -24490,73
337,8528 -23958,91
337,8559 -23257,13
337,8589 -22650,03
337,8618 -22046,8
337,8649 -21336,06
337,8679 -20710,45
337,8709 -20130,4
337,8739 -19543,02
337,8769 -19086,4
337,8799 -18567,36
337,8829 -18037,25
337,8859 -17522,3
337,8889 -17042,12
337,8919 -16689,13
337,8949 -16188,14
337,8979 -15754,5
337,9009 -15295,09
337,9039 -14957,43
337,9069 -14536,01
337,9099 -14176,43
337,9129 -13812,85
337,9159 -13376,41
337,9189 -13037,42
337,9219 -12741,41
337,9249 -12416,72
337,9279 -12088,65
337,9309 -11816,47
337,9339 -11543,52
337,937 -11211,67
337,9399 -10942,08
337,9429 -10664,46
337,946 -10393,64
337,9489 -10091,55
337,952 -9845,742
337,955 -9647,01
337,9579 -9449,893
337,961 -9218,748
337,964 -8985,382
337,967 -8783,313
337,97 -8606,135
337,973 -8412,27
337,976 -8242,727
337,979 -8037,505
337,982 -7872,74
337,985 -7725,353
337,988 -7539,392
337,991 -7386,458
337,994 -7227,429
337,997 -7058,459
338 -6886,663
338,003 -6756,619
338,006 -6619,46
338,009 -6485,014
338,012 -6336,403
338,015 -6176,338
338,018 -6068,644
338,021 -5937,147
338,024 -5834,981
338,027 -5701,549
338,03 -5592,481
338,033 -5477,624
338,036 -5377,462
338,039 -5268,833
338,0421 -5164,249
