
336 -4,122379
337,7838 -12601,33
337,7868 -12228,43
337,7898 -11818,92
337,7928 -11514,45
337,7958 -11182,75
337,7988 -10891,4
337,8018 -10515,45
337,8048 -10200,94
337,8078 -9881,067
337,8108 -9589,379
337,8138 -9317,215
337,8168 -9047,354
337,8198 -8774,762
337,8228 -8539,957
337,8258 -8235,48
337,8288 -8029,301
337,8318 -7768,875
337,8348 -7539,464
337,8378 -7358,447
337,8409 -7150,998
337,8438 -6984,372
337,8468 -6755,173
337,8499 -6590,534
337,8528 -6396,083
337,8559 -6204,301
337,8589 -6043,28
337,8618 -5864,328
337,8649 -5711,1
337,8679 -5534,65
337,8709 -5395,076
337,8739 -5262,432
337,8769 -5090,753
337,8799 -4973,211
337,8829 -4845,099
337,8859 -4715,497
337,8889 -4588,705
337,8919 -4475,163
337,8949 -4388,91
337,8979 -4272,876
337,9009 -4159,473
337,9039 -4030,663
337,9069 -3938,479
337,9099 -3831,274
337,9129 -3718,811
337,9159 -3625,271
337,9189 -3563,951
337,9219 -3470,742
337,9249 -3397,946
337,9279 -3314,521
337,9309 -3255,434
337,9339 -3140,171
337,937 -3084,521
337,9399 -3012,796
337,9429 -2925,986
337,946 -2874,842
337,9489 -2794,113
337,952 -2775,637
337,955 -2692,895
337,9579 -2626,989
337,961 -2576,835
337,964 -2529,059
337,967 -2468,493
337,97 -2431,074
337,973 -2367,843
337,976 -2328,522
337,979 -2275,108
337,982 -2225,964
337,985 -2203,929
337,988 -2144,764
337,991 -2096,263
337,994 -2060,406
337,997 -2010,752
338 -1979,829
338,003 -1943,715
338,006 -1896,927
338,009 -1872,013
338,012 -1820,036
338,015 -1793,628
338,018 -1761,138
338,021 -1717,522
338,024 -1678,419
338,027 -1655,735
338,03 -1639,446
338,033 -1601,203
338,036 -1557,801
338,039 -1540,692
338,0421 -1513,192
338,045 -1471,806
338,048 -1440,157
338,0511 -1440,371
338,054 -1431,378
338,0571 -1406,048
338,0601 -1361,307
338,063 -1325,813
338,0661 -1318,925
338,0691 -1295,63
338,0721 -1295,095
338,0751 -1266,552
338,0781 -1231,252
338,0811 -1211,063
338,0841 -1182,105
338,0871 -1179,965
338,0901 -1169,012
338,0931 -1132,213
338,0961 -1119,32
338,0991 -1085,751
338,1021 -1068,198
338,1051 -1059,403
338,1081 -1048,726
338,1111 -1026,235
338,1141 -1027,629
338,1171 -996,4106
338,1201 -971,172
338,1231 -960,2873
338,1261 -957,3953
338,1291 -924,6514
338,1321 -933,4265
338,1351 -898,7411
338,1382 -887,4011
338,1411 -871,9583
338,1441 -863,9037
338,1472 -882,7699
338,1501 -856,0446
338,1532 -830,194
338,1562 -824,4401
338,1591 -818,3773
338,1622 -812,2062
338,1652 -800,3803
338,1682 -758,0143
338,1712 -750,6108
338,1742 -750,9625
338,1772 -734,8437
338,1802 -731,8875
338,1832 -713,9299
338,1862 -715,6899
338,1892 -699,3207
338,1922 -692,164
338,1952 -701,956
338,1982 -657,7134
338,2012 -682,6873
338,2042 -669,2703
338,2072 -649,5418
338,2102 -649,5141
338,2132 -630,6008
338,2162 -638,0938
338,2192 -628,394
338,2222 -610,9144
338,2252 -596,0035
338,2282 -599,1079
338,2312 -572,1847
338,2342 -559,902
338,2372 -571,1556
338,2402 -557,903
338,2433 -546,035
338,2462 -537,0339
338,2492 -529,6479
338,2523 -528,4193
338,2552 -527,0731
338,2583 -529,6765
338,2613 -510,8678
338,2643 -520,2421
338,2673 -511,4079
338,2703 -501,0573
338,2733 -488,9596
338,2763 -496,4951
338,2793 -487,1218
338,2823 -496,0393
338,2853 -479,4043
338,2883 -464,5371
338,2913 -457,8655
338,2943 -456,2422
338,2973 -454,0302
338,3003 -443,0729
338,3033 -445,9989
338,3063 -437,5669
338,3093 -464,5442
338,3123 -429,4395
338,3153 -420,6418
338,3183 -420,7343
338,3213 -393,08
338,3243 -391,0417
338,3273 -405,9146
338,3303 -397,4904
338,3333 -384,3754
338,3363 -377,3022
338,3393 -392,6621
338,3423 -373,3324
338,3453 -363,8576
338,3484 -373,1324
338,3513 -362,2906
338,3543 -365,8529
338,3574 -342,6573
338,3604 -356,6285
338,3634 -352,28
338,3664 -339,8883
338,3694 -351,4208
338,3724 -331,6373
338,3754 -327,9502
338,3784 -331,4588
338,3814 -325,7154
338,3844 -347,128
338,3874 -321,4954
338,3904 -322,2647
338,3934 -304,5433
338,3964 -317,1855
338,3994 -310,2516
338,4024 -305,286
338,4054 -296,5533
338,4084 -294,2932
338,4114 -306,1316
338,4144 -296,9996
338,4174 -275,1173
338,4204 -300,6581
338,4234 -275,6723
338,4264 -293,0989
338,4294 -276,7668
338,4324 -268,0445
338,4354 -267,1498
338,4384 -300,8677
338,4414 -278,7193
338,4445 -273,0246
338,4474 -260,4357
338,4504 -277,7331
338,4535 -238,3563
338,4565 -257,073
338,4595 -266,9824
338,4625 -242,5021
338,4655 -255,7601
338,4685 -244,4551
338,4715 -255,0982
338,4745 -246,0867
338,4775 -244,1028
338,4805 -246,963
338,4835 -237,2459
338,4865 -249,2004
338,4895 -220,3629
338,4925 -243,7686
338,4955 -235,4412
338,4985 -222,1586
338,5015 -227,5502
338,5045 -222,5558
338,5075 -223,5951
338,5105 -208,3925
338,5135 -214,2051
338,5165 -211,4606
338,5195 -211,6676
338,5225 -207,9267
338,5255 -209,0198
338,5285 -206,4742
338,5315 -221,599
338,5345 -199,1752
338,5375 -195,5525
338,5405 -199,7699
338,5435 -207,2049
338,5465 -205,3427
338,5496 -212,9898
338,5526 -198,3062
338,5555 -198,715
338,5586 -189,8626
338,5616 -191,5262
338,5646 -202,6777
338,5676 -199,5136
338,5706 -174,4524
338,5736 -181,7783
338,5766 -191,9486
338,5796 -184,7674
338,5826 -178,6204
338,5856 -189,0151
338,5886 -165,2403
338,5916 -192,9588
338,5946 -195,6021
338,5976 -172,4675
338,6006 -170,8951
338,6036 -174,6345
338,6066 -165,2981
338,6096 -168,0968
338,6126 -192,0979
338,6156 -164,946
338,6186 -174,3342
338,6216 -173,7334
338,6246 -173,868
338,6276 -177,1829
338,6306 -146,0365
338,6336 -166,7902
338,6366 -156,8673
338,6396 -162,0822
338,6426 -163,0367
338,6457 -158,6168
338,6487 -142,8462
338,6516 -153,6635
338,6547 -147,8673
338,6577 -156,8177
338,6607 -165,7438
338,6637 -140,0416
338,6667 -164,8001
338,6697 -137,6077
338,6727 -148,3212
338,6757 -157,4195
338,6787 -131,4759
338,6817 -145,9741
338,6847 -158,6068
338,6877 -120,7958
338,6907 -136,03
338,6937 -130,8248
338,6967 -125,1454
338,6997 -131,3299
338,7027 -142,7796
338,7057 -142,0122
338,7087 -115,6223
338,7117 -128,2178
338,7147 -131,5916
338,7177 -145,5301
338,7207 -129,2975
338,7237 -134,457
338,7267 -147,1842
338,7297 -134,8728
338,7327 -135,5817
338,7357 -126,4461
338,7387 -127,9899
338,7417 -110,6106
338,7448 -141,6711
338,7477 -126,5955
338,7508 -121,8354
338,7538 -129,2558
338,7567 -131,2815
338,7598 -120,6129
338,7628 -114,6344
338,7658 -117,4927
338,7688 -135,8447
338,7718 -109,2593
338,7748 -127,5587
338,7778 -113,3845
338,7808 -132,5457
338,7838 -112,482
338,7868 -126,5508
338,7898 -126,4901
338,7928 -120,4557
338,7958 -116,9396
338,7988 -92,75663
338,8018 -122,1136
338,8048 -122,7563
338,8078 -100,8627
338,8108 -106,4428
338,8138 -109,0264
338,8168 -109,3656
338,8198 -97,34859
338,8228 -100,8828
338,8258 -112,2897
338,8288 -96,33067
338,8318 -121,5216
338,8348 -103,3102
338,8378 -119,5065
338,8409 -95,70689
338,8438 -86,56615
338,8468 -92,91904
338,8499 -91,46966
338,8528 -108,7199
338,8559 -104,1866
338,8589 -107,3799
338,8618 -118,032
338,8649 -94,28101
338,8679 -93,45367
338,8709 -99,32555
338,8739 -105,5126
338,8769 -90,74862
338,8799 -95,40453
338,8829 -107,7278
338,8859 -84,78337
338,8889 -99,50464
338,8919 -98,20166
338,8949 -106,1197
338,8979 -94,09485
338,9009 -86,78491
338,9039 -90,3775
338,9069 -78,01669
338,9099 -94,7836
338,9129 -77,40391
338,9159 -99,74789
338,9189 -89,79585
338,9219 -74,38855
338,9249 -93,51096
338,9279 -97,96637
338,9309 -93,3546
338,9339 -90,522
338,937 -95,84168
338,9399 -88,25362
338,9429 -100,3136
338,946 -89,60735
338,9489 -69,06993
338,952 -92,14056
338,955 -81,27462
338,9579 -62,25072
338,961 -78,13914
338,964 -99,00639
338,967 -81,29034
338,97 -79,52113
338,973 -95,63351
338,976 -71,97136
338,979 -76,45077
338,982 -87,60489
338,985 -75,93922
338,988 -83,6597
338,991 -96,39613
338,994 -76,52171
338,997 -72,19077
339 -76,01181
336 -4,122379
336,003 3,558754
336,006 0,9144908
336,009 -2,425861
336,012 4,880986
336,015 -6,10343
336,018 4,227684
336,021 -3,714066
336,024 -7,202722
336,027 4,284246
336,03 12,52138
336,033 -4,903104
336,036 -15,06585
336,039 25,22825
336,0421 8,745887
336,045 9,349675
336,048 2,978734
336,0511 -5,720958
336,054 7,089639
336,0571 -6,134296
336,0601 -9,100331
336,063 -6,263834
336,0661 4,533449
336,0691 30,12085
336,0721 15,2347
336,0751 -2,604611
336,0781 6,170191
336,0811 1,486382
336,0841 4,669748
336,0871 14,2161
336,0901 10,72635
336,0931 21,19439
336,0961 8,555689
336,0991 -2,125863
336,1021 8,475451
336,1051 17,23036
